iter	Passed	Remaining
289	436	1069
290	444	1081
291	445	1079
292	446	1076
293	447	1074
294	448	1071
295	449	1069
296	450	1067
297	451	1064
298	453	1062
299	454	1060
300	455	1058
301	457	1056
302	458	1054
303	459	1051
304	460	1049
305	461	1046
306	462	1043
307	463	1041
308	464	1039
309	465	1036
310	466	1033
311	467	1031
312	468	1029
313	470	1027
314	471	1025
315	472	1023
316	473	1020
317	474	1018
318	475	1015
319	476	1012
320	477	1010
321	479	1008
322	479	1005
323	480	1003
324	481	1000
325	483	999
326	484	997
327	486	996
328	487	994
329	488	991
330	489	989
331	490	987
332	491	985
333	493	983
334	494	981
335	495	979
336	496	977
337	498	975
338	500	975
339	501	972
340	502	971
341	503	968
342	504	966
343	505	964
344	507	962
345	508	961
346	509	959
347	510	957
348	512	955
349	513	954
350	515	952
351	516	950
352	517	948
353	518	945
354	519	943
355	520	942
356	522	940
357	523	938
358	524	935
359	525	933
360	526	932
361	528	931
362	529	929
363	530	927
364	531	925
365	533	923
366	534	921
367	535	919
368	536	917
369	537	915
370	538	913
371	539	910
372	540	909
373	542	907
374	543	905
375	544	903
376	545	901
377	547	900
378	548	898
379	549	897
380	550	895
381	551	892
382	552	890
383	554	888
384	555	887
385	557	886
386	558	885
387	560	883
388	561	881
389	562	879
390	563	877
391	564	875
392	565	873
393	566	871
394	567	869
395	568	866
396	569	864
397	570	862
398	571	861
399	573	859
400	574	857
401	575	855
402	576	853
403	577	851
404	578	849
405	579	847
406	580	845
407	581	843
408	582	841
409	583	839
410	584	837
411	585	836
412	587	835
413	589	834
414	590	832
415	591	830
416	592	828
417	593	826
418	594	824
419	596	823
420	597	821
421	598	819
422	599	817
423	600	816
424	602	814
425	603	813
426	604	811
427	605	809
428	606	807
429	607	805
430	608	803
431	609	801
432	610	799
433	611	797
434	612	795
435	613	793
436	614	792
437	616	791
438	618	790
439	619	788
440	620	786
441	621	784
442	622	782
443	623	780
444	624	779
445	625	777
446	626	775
447	627	773
448	628	771
449	630	770
450	631	769
451	633	767
452	634	766
453	635	764
454	636	762
455	637	760
456	638	758
457	639	757
458	640	755
459	641	753
460	642	751
461	643	749
462	645	748
463	646	746
464	647	745
465	648	743
466	649	741
467	650	739
468	651	737
469	652	736
470	653	734
471	654	732
472	655	730
473	656	728
474	657	726
475	658	724
476	659	723
477	660	721
478	662	720
479	663	718
480	664	716
481	665	715
482	666	713
483	667	711
484	668	709
485	669	707
486	670	705
487	671	704
488	672	702
489	673	700
490	674	699
491	676	698
492	678	697
493	679	695
494	680	694
495	681	692
496	682	690
497	683	689
498	684	687
499	685	685
500	686	684
501	687	682
502	689	681
503	690	679
504	692	678
505	693	676
506	694	675
507	695	673
508	696	671
509	697	669
510	698	668
511	699	666
512	700	664
513	701	662
514	702	661
515	703	659
516	704	658
517	705	656
518	706	655
519	707	653
520	709	651
521	710	650
522	710	648
523	711	646
524	713	645
525	714	643
526	714	641
527	715	640
528	717	638
529	718	637
530	719	635
531	721	634
532	722	632
533	723	631
534	724	629
535	725	627
536	726	626
537	727	624
538	728	622
539	729	621
540	730	619
541	731	618
542	732	616
543	733	615
544	735	614
545	736	612
546	738	611
547	739	609
548	740	608
549	741	606
550	742	605
551	743	603
552	744	601
553	745	599
554	746	598
555	747	597
556	749	595
557	750	594
558	751	592
559	752	591
560	753	589
561	754	588
562	755	586
563	756	585
564	757	583
565	758	581
566	759	580
567	760	578
568	762	577
569	763	575
570	764	574
571	765	573
572	766	571
573	768	570
574	769	568
575	770	567
576	771	565
577	772	563
578	773	562
579	774	560
580	775	559
581	776	557
582	776	555
583	778	554
584	779	552
585	780	551
586	781	549
587	782	548
588	783	546
589	784	544
590	784	543
591	785	541
592	787	540
593	787	538
594	788	537
595	789	535
596	790	533
597	791	532
598	792	530
599	794	529
600	795	528
601	796	526
602	797	524
603	798	523
604	798	521
605	799	520
606	800	518
607	801	516
608	802	515
609	803	513
610	804	512
611	805	510
612	806	509
613	807	507
614	809	506
615	810	505
616	811	503
617	812	502
618	813	500
619	814	499
620	815	497
621	816	496
622	817	494
623	818	493
624	819	491
625	820	490
626	821	488
627	822	487
628	823	485
629	825	484
630	826	483
631	827	481
632	828	480
633	829	478
634	830	477
635	831	475
636	832	474
637	833	472
638	834	471
639	835	469
640	836	468
641	837	467
642	838	465
643	839	464
644	840	462
645	841	461
646	842	459
647	843	458
648	844	456
649	845	455
650	846	453
651	847	452
652	848	450
653	849	449
654	850	447
655	851	446
656	852	445
657	853	443
658	855	442
659	855	440
660	856	439
661	857	438
662	858	436
663	859	435
664	860	433
665	861	432
666	863	430
667	864	429
668	865	428
669	866	426
670	867	425
671	868	424
672	870	422
673	871	421
674	872	420
675	873	418
676	874	417
677	875	415
678	877	414
679	878	413
680	879	411
681	879	410
682	880	408
683	881	407
684	883	406
685	884	404
686	885	403
687	886	402
688	887	400
689	888	399
690	889	397
691	890	396
692	891	394
693	892	393
694	893	391
695	894	390
696	894	389
697	895	387
698	896	386
699	898	384
700	899	383
701	900	382
702	901	380
703	902	379
704	903	377
705	904	376
706	905	375
707	906	373
708	907	372
709	908	370
710	909	369
711	910	368
712	912	367
713	913	366
714	914	364
715	915	363
716	916	361
717	917	360
718	918	359
719	919	357
720	920	356
721	921	354
722	922	353
723	923	351
724	924	350
725	925	349
726	926	348
727	928	346
728	929	345
729	930	344
730	931	342
731	932	341
732	933	339
733	933	338
734	934	337
735	935	335
736	936	334
737	937	332
738	938	331
739	939	330
740	940	328
741	941	327
742	943	326
743	944	324
744	945	323
745	946	322
746	947	320
747	948	319
748	949	318
749	950	316
750	951	315
751	952	314
752	953	312
753	954	311
754	955	309
755	955	308
756	957	307
757	958	306
758	959	304
759	960	303
760	961	302
761	962	300
762	963	299
763	964	298
764	965	296
765	966	295
766	967	293
767	968	292
768	969	291
769	970	289
770	971	288
771	972	287
772	974	286
773	975	284
774	976	283
775	977	282
776	978	280
777	979	279
778	980	278
779	981	276
780	982	275
781	983	274
782	984	272
783	985	271
784	986	270
785	987	268
786	989	267
787	990	266
788	991	265
789	992	263
790	993	262
791	994	261
792	995	259
793	996	258
794	997	257
795	998	255
796	999	254
797	1000	253
798	1001	251
799	1003	250
800	1004	249
801	1005	248
802	1006	246
803	1007	245
804	1008	244
805	1010	243
806	1011	241
807	1012	240
808	1014	239
809	1015	238
810	1016	236
811	1017	235
812	1019	234
813	1021	233
814	1022	232
815	1023	230
816	1024	229
817	1025	228
818	1026	226
819	1028	225
820	1029	224
821	1030	223
822	1031	221
823	1032	220
824	1034	219
825	1036	218
826	1037	217
827	1038	215
828	1040	214
829	1041	213
830	1042	212
831	1043	210
832	1045	209
833	1046	208
834	1048	207
835	1049	205
836	1050	204
837	1051	203
838	1052	202
839	1053	200
840	1055	199
841	1056	198
842	1058	197
843	1059	195
844	1060	194
845	1061	193
846	1063	192
847	1064	190
848	1065	189
849	1066	188
850	1067	186
851	1068	185
852	1069	184
853	1070	183
854	1071	181
855	1072	180
856	1073	179
857	1075	177
858	1076	176
859	1077	175
860	1078	174
861	1080	172
862	1081	171
863	1082	170
864	1083	169
865	1084	167
866	1085	166
867	1087	165
868	1088	164
869	1089	162
870	1091	161
871	1092	160
872	1093	159
873	1094	157
874	1094	156
875	1095	155
876	1096	153
877	1097	152
878	1098	151
879	1099	149
880	1100	148
881	1101	147
882	1102	146
883	1103	144
884	1104	143
885	1105	142
886	1106	141
887	1107	139
888	1108	138
889	1109	137
890	1110	135
891	1111	134
892	1112	133
893	1113	132
894	1114	130
895	1115	129
896	1116	128
897	1116	126
898	1117	125
899	1118	124
900	1119	123
901	1121	121
902	1122	120
903	1123	119
904	1123	117
905	1124	116
906	1125	115
907	1126	114
908	1127	112
909	1129	111
910	1130	110
911	1131	109
912	1132	107
913	1133	106
914	1134	105
915	1135	104
916	1136	102
917	1137	101
918	1138	100
919	1139	99
920	1140	97
921	1141	96
922	1142	95
923	1143	94
924	1144	92
925	1145	91
926	1146	90
927	1147	89
928	1148	87
929	1149	86
930	1150	85
931	1151	84
932	1152	82
933	1153	81
934	1154	80
935	1155	79
936	1156	77
937	1157	76
938	1158	75
939	1159	74
940	1160	72
941	1161	71
942	1162	70
943	1163	69
944	1164	67
945	1165	66
946	1166	65
947	1167	64
948	1168	62
949	1169	61
950	1170	60
951	1171	59
952	1172	57
953	1173	56
954	1174	55
955	1175	54
956	1176	52
957	1177	51
958	1178	50
959	1179	49
960	1181	47
961	1182	46
962	1183	45
963	1184	44
964	1185	42
965	1186	41
966	1186	40
967	1187	39
968	1188	38
969	1189	36
970	1190	35
971	1191	34
972	1192	33
973	1193	31
974	1194	30
975	1195	29
976	1196	28
977	1197	26
978	1198	25
979	1199	24
980	1200	23
981	1201	22
982	1202	20
983	1203	19
984	1204	18
985	1205	17
986	1206	15
987	1207	14
988	1207	13
989	1208	12
990	1210	10
991	1211	9
992	1212	8
993	1213	7
994	1214	6
995	1215	4
996	1216	3
997	1217	2
998	1218	1
999	1219	0
